学院,专业,年级,课程名称,教师姓名,上课班级,上课人数,上课地点,周次,星期,开始节次,结束节次,是否为实验课(0/1)
软件学院,软件工程,2019,工程经济学,战扬,19软工1班/19软工2班,61,3号楼-114,1-8周,1,1,2,0
软件学院,软件工程,2019,软件工程综合实践3,青巴图,19软工1班/19软工2班,61,4号楼-,9-18周,1,1,2,1
软件学院,软件工程,2019,软件工程综合实践3,杨丰,19软工5班/19软工6班,61,4号楼-,9-18周,1,1,2,1
软件学院,软件工程,2019,软件工程综合实践3,丁大勇,19软工3班/19软工4班,62,4号楼-,9-18周,1,1,2,1
软件学院,软件工程,2019,大数据分析与应用,张浩宇,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,4号楼-,2-6周,1,3,4,1
软件学院,软件工程,2019,大数据算法,黎玲利,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,4号楼-,8-12周,1,3,4,1
软件学院,软件工程,2019,大数据分析与应用,张浩宇,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,3号楼-104,1-6周,1,5,6,0
软件学院,软件工程,2019,基础日语（下）,许寒,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,3号楼-114,1-8周,1,5,6,0
软件学院,软件工程,2019,大数据算法,黎玲利,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,3号楼-104,7-12周,1,5,6,0
软件学院,软件工程,2019,专业日语,于海洋,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,3号楼-114,10-17周,1,5,6,0
软件学院,软件工程,2019,机器学习,刘勇,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,3号楼-104,1-6周,1,7,8,0
软件学院,软件工程,2019,数据挖掘,杨艳,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,3号楼-114,1-6周,1,7,8,0
软件学院,软件工程,2019,深度学习,马吉权,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,3号楼-104,7-12周,1,7,8,0
软件学院,软件工程,2019,移动互联网应用开发技术,常城,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,3号楼-114,7-15周,1,7,8,0
软件学院,软件工程,2019,软件设计与体系结构,丁大勇,19软工3班/19软工4班,62,4号楼-,1-8周,2,1,2,1
软件学院,软件工程,2019,软件工程综合实践3,丁大勇,19软工3班/19软工4班,62,4号楼-,9-18周,2,1,2,1
软件学院,软件工程,2019,人机交互的软件工程方法,王昊,19软工5班/19软工6班,61,4号楼-,11-18周,2,1,2,1
软件学院,软件工程,2019,软件工程综合实践3,青巴图,19软工1班/19软工2班,61,4号楼-,9-18周,2,1,2,1
软件学院,软件工程,2019,软件工程综合实践3,杨丰,19软工5班/19软工6班,61,4号楼-,9-18周,2,1,2,1
软件学院,软件工程,2019,软件设计与体系结构,杨丰,19软工5班/19软工6班,61,3号楼-114,1-8周,2,3,4,0
软件学院,软件工程,2019,人工智能综合应用,马吉权,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,4号楼-,10-17周,2,3,4,1
软件学院,软件工程,2019,大数据综合应用,于天,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,4号楼-,10-18周,2,3,4,1
软件学院,软件工程,2019,数据挖掘,杨艳,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,4号楼-,2-7周,2,5,6,1
软件学院,软件工程,2019,机器学习,刘勇,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,4号楼-,2-7周,2,5,6,1
软件学院,软件工程,2019,深度学习,马吉权,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,4号楼-,8-12周,2,5,6,1
软件学院,软件工程,2019,移动互联网应用开发技术,常城,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,4号楼-,8-15周,2,5,6,1
软件学院,软件工程,2019,工程经济学,于海洋,19软工5班/19软工6班,61,3号楼-304,1-8周,2,7,8,0
软件学院,软件工程,2019,人机交互的软件工程方法,王昊,19软工3班/19软工4班,62,3号楼-114,10-17周,2,7,8,0
软件学院,软件工程,2019,人机交互的软件工程方法,梁海红,19软工1班/19软工2班,61,3号楼-304,10-17周,2,7,8,0
软件学院,软件工程,2019,工程经济学,战扬,19软工1班/19软工2班,61,3号楼-114,1-8周,3,1,2,0
软件学院,软件工程,2019,软件设计与体系结构,青巴图,19软工1班/19软工2班,61,4号楼-,1-8周,3,3,4,1
软件学院,软件工程,2019,工程经济学,张兆功,19软工3班/19软工4班,62,3号楼-408,1-8周,3,3,4,0
软件学院,软件工程,2019,软件设计与体系结构,杨丰,19软工5班/19软工6班,61,4号楼-,1-8周,3,3,4,1
软件学院,软件工程,2019,大数据分析与应用,张浩宇,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,3号楼-114,1-6周,4,3,4,0
软件学院,软件工程,2019,基础日语（下）,许寒,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,3号楼-304,1-8周,4,3,4,0
软件学院,软件工程,2019,大数据算法,黎玲利,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,3号楼-114,7-12周,4,3,4,0
软件学院,软件工程,2019,专业日语,于海洋,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,3号楼-304,10-17周,4,3,4,0
软件学院,软件工程,2019,软件设计与体系结构,杨丰,19软工5班/19软工6班,61,3号楼-304,1-8周,4,5,6,0
软件学院,软件工程,2019,人工智能综合应用,马吉权,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,4号楼-,10-17周,4,5,6,1
软件学院,软件工程,2019,大数据综合应用,于天,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,4号楼-,10-18周,4,5,6,1
软件学院,软件工程,2019,数据挖掘,杨艳,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,3号楼-304,1-6周,4,7,8,0
